id,eventID,eventType,param%1,param%2,param%3,randOdd,eventName,rewards-type-1,rewards-id-1,rewards-value-1,desc,eventText,resultText,buttonAText,buttonBText,
1,101,1,1010,1,,,s==4|扬威武馆,,,,s==9|建筑事件-扬威武馆,,,,,
2,102,1,1020,2,,,s==4|锦绣食府,,,,s==9|建筑事件-锦绣食府,,,,,
3,103,1,1030,3,,,s==4|兴盛银庄,,,,s==9|建筑事件-兴盛银庄,,,,,
4,104,1,1040,4,,,s==4|安邦城关,,,,s==9|建筑事件-安邦城关,,,,,
5,105,1,1050,5,,,s==4|育才书苑,,,,s==9|建筑事件-育才书苑,,,,,
6,201,2,,,,,s==4|好运连连,2,1179,8,s==7|获得-少量积分,,,,,
7,202,2,,,,,s==4|好运连连,2,1179,15,s==7|获得-中量积分,,,,,
8,203,2,,,,,s==4|好运连连,2,1179,30,s==7|获得-大量积分,,,,,
9,301,3,1,6,,10,s==4|当心脚滑,,,,s==7|随机-前进N格,s==38|你正在为市集的脏乱差问题，突然一不小心踩在了香蕉皮上，不由自主地向前滑去……,s==11|向前移动{name}步,s==2|确定,,
10,301,3,-6,-1,,10,s==4|当心脚滑,,,,s==7|随机-后退N格,s==38|你正在为市集的脏乱差问题，突然一不小心踩在了香蕉皮上，不由自主地向后滑去……,s==11|向后移动{name}步,s==2|确定,,
11,301,4,,,,20,s==4|路遇小贼,,,,s==5|随机-战斗,s==71|你正视察着城镇的街道，突然感到背后一阵恶寒。电光火石间，你反手一抓，便将那伸向你腰间钱袋的魔爪给逮了下来。光天化日之下竟有毛贼行凶，你决定……,s==9|是否教训毛贼一顿？,s==3|放过他,s==3|教训他,
12,301,5,3,,,20,s==4|神秘商贩,,,,s==5|随机-购买,s==82|市集之上，你遇到了一个熟悉的身影，魔仙华佗竟然说有好货要卖给你。“别用这种眼神看我，魔仙也是要赚钱生活的啊”你看他手中的宝盒里透着金光，似乎装着什么宝贝，你决定……,s==15|是否花费{name}元宝购买？,s==2|谢绝,s==2|购买,
13,301,6,,,,40,s==4|仙人授礼,,,,s==5|随机-选项,s==65|你在路边遇到受伤的小猫，你刚替小猫包扎好，它竟摇身一变化成了仙人模样，还说要送你一件礼物做谢礼。他左右手里各有一份礼物，你选择……,s==8|请选择一边的奖励,s==2|左边,s==2|右边,
14,401,7,,,,,s==4|完成一轮,,,,s==4|经过起点,,,,,
