id,effect,filePath,offsetPlace,effScale,effLayer,isPrem,desc,
1,s==6|fazhen,s==48|SpineDynamic/UI/UI_yuanzheng/export/UI_yuanzheng,,1.5,1.5,1,,s==2|法阵,
2,s==3|huo,s==53|SpineDynamic/UI/UI_juntuantexiao/export/juntuantexiao,,,1,,s==4|地块火焰,
3,s==4|long,s==53|SpineDynamic/UI/UI_juntuantexiao/export/juntuantexiao,74,-128,,2,,s==2|龙柱,
4,s==10|qiangwang2,s==53|SpineDynamic/UI/UI_juntuantexiao/export/juntuantexiao,0,88,1.5,1.5,2,,s==4|cd时间,
5,s==9|qianwang1,s==53|SpineDynamic/UI/UI_juntuantexiao/export/juntuantexiao,1,107,1.5,1.5,2,,s==4|前往时间,
6,s==9|animation,s==38|SpineDynamic/UI/UI_sczz/export1/qizhi1,-3,105,0.85,0.85,2,,s==5|城墙旗帜 ,
7,s==9|animation,s==38|SpineDynamic/UI/UI_sczz/export2/qizhi2,-38,-82,0.6,0.6,2,,s==5|行军路旗帜,
8,s==9|animation,s==38|SpineDynamic/UI/UI_sczz/export2/qizhi2,52,54,0.6,0.6,2,,s==5|行军路旗帜,
9,s==9|animation,s==38|SpineDynamic/UI/UI_sczz/export2/qizhi2,-97,-79,0.6,0.6,2,,s==5|行军路旗帜,
10,s==9|animation,s==38|SpineDynamic/UI/UI_sczz/export2/qizhi2,75,43,0.6,0.6,2,,s==5|行军路旗帜,
11,s==9|animation,s==38|SpineDynamic/UI/UI_sczz/export3/qizhi3,-64,-50,0.85,0.85,2,,s==8|攻方出生点旗帜1,
12,s==9|animation,s==38|SpineDynamic/UI/UI_sczz/export3/qizhi3,-98,-42,0.85,0.85,2,,s==8|攻方出生点旗帜2,
13,s==9|animation,s==38|SpineDynamic/UI/UI_sczz/export3/qizhi3,-85,26,0.85,0.85,2,,s==8|攻方出生点旗帜3,
14,s==9|animation,s==38|SpineDynamic/UI/UI_sczz/export3/qizhi3,-101,19,0.85,0.85,2,,s==8|攻方出生点旗帜4,
15,s==9|animation,s==38|SpineDynamic/UI/UI_sczz/export3/qizhi3,75,0,0.85,0.85,2,,s==8|守方出生点旗帜5,
16,s==9|animation,s==38|SpineDynamic/UI/UI_sczz/export3/qizhi3,92,-10,0.85,0.85,2,,s==8|守方出生点旗帜5,
17,s==9|animation,s==38|SpineDynamic/UI/UI_sczz/export1/qizhi1,195,-39,0.85,0.85,2,,s==5|城墙旗帜 ,
18,s==9|animation,s==38|SpineDynamic/UI/UI_sczz/export1/qizhi1,95,-40,0.85,0.85,2,,s==5|城墙旗帜 ,
19,s==9|animation,s==38|SpineDynamic/UI/UI_sczz/export1/qizhi1,-11,-39,0.85,0.85,2,,s==5|城墙旗帜 ,
20,s==9|animation,s==38|SpineDynamic/UI/UI_sczz/export1/qizhi1,-81,86,0.85,0.85,2,,s==5|城墙旗帜 ,
21,s==9|animation,s==38|SpineDynamic/UI/UI_sczz/export1/qizhi1,30,87,0.85,0.85,2,,s==5|城墙旗帜 ,
22,s==9|animation,s==38|SpineDynamic/UI/UI_sczz/export1/qizhi1,-46,95,0.85,0.85,2,,s==5|城墙旗帜 ,
23,s==9|animation,s==38|SpineDynamic/UI/UI_sczz/export2/qizhi2,85,16,0.6,0.6,2,,s==5|行军路旗帜,
24,s==5|hudun,s==53|SpineDynamic/UI/UI_juntuantexiao/export/juntuantexiao,9,200,,2,,s==6|护盾生成特效,
25,s==12|hudunxiaoshi,s==53|SpineDynamic/UI/UI_juntuantexiao/export/juntuantexiao,-9,178,,2,,s==6|护盾消失特效,
26,s==10|longtexiao,s==53|SpineDynamic/UI/UI_juntuantexiao/export/juntuantexiao,3,106,,2,,s==6|普通持续特效,
27,s==10|hudunchixu,s==53|SpineDynamic/UI/UI_juntuantexiao/export/juntuantexiao,8,198,,2,,s==6|护盾持续特效,
