id,taskName,taskDesc,needLevel,lvLimit,taskType,subType,nextTask,ToSystemFunId,targets-targetType-1,targets-targetId-1,targets-targetValue-1,targets-targetType-2,targets-targetId-2,targets-targetValue-2,targets-targetType-3,targets-targetId-3,targets-targetValue-3,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,prioriy,
510001,,s==44|Quân Đoàn Tranh Bá cá nhân chiến thắng 6 lần,1,200,1,0,0,1450,313,0,6,0,0,0,0,0,0,1,17,3000,,,,,,,1,
510002,,s==45|Quân Đoàn Tranh Bá cá nhân chiến thắng 12 lần,1,200,1,0,0,1450,313,0,12,0,0,0,0,0,0,1,17,3075,,,,,,,2,
510003,,s==45|Quân Đoàn Tranh Bá cá nhân chiến thắng 18 lần,1,200,1,0,0,1450,313,0,18,0,0,0,0,0,0,1,17,3150,,,,,,,3,
510004,,s==45|Quân Đoàn Tranh Bá cá nhân chiến thắng 24 lần,1,200,1,0,0,1450,313,0,24,0,0,0,0,0,0,1,17,3225,,,,,,,4,
510005,,s==45|Quân Đoàn Tranh Bá cá nhân chiến thắng 30 lần,1,200,1,0,0,1450,313,0,30,0,0,0,0,0,0,1,17,3300,2,1003,1,,,,5,
510006,,s==45|Quân Đoàn Tranh Bá cá nhân chiến thắng 36 lần,1,200,1,0,0,1450,313,0,36,0,0,0,0,0,0,1,17,3375,,,,,,,6,
510007,,s==45|Quân Đoàn Tranh Bá cá nhân chiến thắng 42 lần,1,200,1,0,0,1450,313,0,42,0,0,0,0,0,0,1,17,3450,,,,,,,7,
510008,,s==45|Quân Đoàn Tranh Bá cá nhân chiến thắng 48 lần,1,200,1,0,0,1450,313,0,48,0,0,0,0,0,0,1,17,3525,,,,,,,8,
510009,,s==45|Quân Đoàn Tranh Bá cá nhân chiến thắng 54 lần,1,200,1,0,0,1450,313,0,54,0,0,0,0,0,0,1,17,3600,,,,,,,9,
510010,,s==45|Quân Đoàn Tranh Bá cá nhân chiến thắng 60 lần,1,200,1,0,0,1450,313,0,60,0,0,0,0,0,0,1,17,3675,2,1003,1,,,,10,
510011,,s==45|Quân Đoàn Tranh Bá cá nhân chiến thắng 66 lần,1,200,1,0,0,1450,313,0,66,0,0,0,0,0,0,1,17,3750,,,,,,,11,
510012,,s==45|Quân Đoàn Tranh Bá cá nhân chiến thắng 72 lần,1,200,1,0,0,1450,313,0,72,0,0,0,0,0,0,1,17,3825,,,,,,,12,
510013,,s==45|Quân Đoàn Tranh Bá cá nhân chiến thắng 78 lần,1,200,1,0,0,1450,313,0,78,0,0,0,0,0,0,1,17,3900,,,,,,,13,
510014,,s==45|Quân Đoàn Tranh Bá cá nhân chiến thắng 84 lần,1,200,1,0,0,1450,313,0,84,0,0,0,0,0,0,1,17,3975,,,,,,,14,
510015,,s==45|Quân Đoàn Tranh Bá cá nhân chiến thắng 90 lần,1,200,1,0,0,1450,313,0,90,0,0,0,0,0,0,1,17,4050,2,1003,1,,,,15,
510016,,s==45|Quân Đoàn Tranh Bá cá nhân chiến thắng 96 lần,1,200,1,0,0,1450,313,0,96,0,0,0,0,0,0,1,17,4125,,,,,,,16,
510017,,s==46|Quân Đoàn Tranh Bá cá nhân chiến thắng 102 lần,1,200,1,0,0,1450,313,0,102,0,0,0,0,0,0,1,17,4200,,,,,,,17,
510018,,s==46|Quân Đoàn Tranh Bá cá nhân chiến thắng 108 lần,1,200,1,0,0,1450,313,0,108,0,0,0,0,0,0,1,17,4275,,,,,,,18,
510019,,s==46|Quân Đoàn Tranh Bá cá nhân chiến thắng 114 lần,1,200,1,0,0,1450,313,0,114,0,0,0,0,0,0,1,17,4350,,,,,,,19,
510020,,s==46|Quân Đoàn Tranh Bá cá nhân chiến thắng 120 lần,1,200,1,0,0,1450,313,0,120,0,0,0,0,0,0,1,17,4425,2,1003,1,,,,20,
510021,,s==46|Quân Đoàn Tranh Bá cá nhân chiến thắng 126 lần,1,200,1,0,0,1450,313,0,126,0,0,0,0,0,0,1,17,4500,,,,,,,21,
510022,,s==46|Quân Đoàn Tranh Bá cá nhân chiến thắng 132 lần,1,200,1,0,0,1450,313,0,132,0,0,0,0,0,0,1,17,4575,,,,,,,22,
510023,,s==46|Quân Đoàn Tranh Bá cá nhân chiến thắng 138 lần,1,200,1,0,0,1450,313,0,138,0,0,0,0,0,0,1,17,4650,,,,,,,23,
510024,,s==46|Quân Đoàn Tranh Bá cá nhân chiến thắng 144 lần,1,200,1,0,0,1450,313,0,144,0,0,0,0,0,0,1,17,4725,,,,,,,24,
510025,,s==46|Quân Đoàn Tranh Bá cá nhân chiến thắng 150 lần,1,200,1,0,0,1450,313,0,150,0,0,0,0,0,0,1,17,4800,2,1003,1,,,,25,
510026,,s==46|Quân Đoàn Tranh Bá cá nhân chiến thắng 156 lần,1,200,1,0,0,1450,313,0,156,0,0,0,0,0,0,1,17,4875,,,,,,,26,
510027,,s==46|Quân Đoàn Tranh Bá cá nhân chiến thắng 162 lần,1,200,1,0,0,1450,313,0,162,0,0,0,0,0,0,1,17,4950,,,,,,,27,
510028,,s==46|Quân Đoàn Tranh Bá cá nhân chiến thắng 168 lần,1,200,1,0,0,1450,313,0,168,0,0,0,0,0,0,1,17,5025,,,,,,,28,
510029,,s==46|Quân Đoàn Tranh Bá cá nhân chiến thắng 174 lần,1,200,1,0,0,1450,313,0,174,0,0,0,0,0,0,1,17,5100,,,,,,,29,
510030,,s==46|Quân Đoàn Tranh Bá cá nhân chiến thắng 180 lần,1,200,1,0,0,1450,313,0,180,0,0,0,0,0,0,1,17,5175,2,1003,1,,,,30,
510031,,s==46|Quân Đoàn Tranh Bá cá nhân chiến thắng 186 lần,1,200,1,0,0,1450,313,0,186,0,0,0,0,0,0,1,17,5250,,,,,,,31,
510032,,s==46|Quân Đoàn Tranh Bá cá nhân chiến thắng 192 lần,1,200,1,0,0,1450,313,0,192,0,0,0,0,0,0,1,17,5325,,,,,,,32,
510033,,s==46|Quân Đoàn Tranh Bá cá nhân chiến thắng 198 lần,1,200,1,0,0,1450,313,0,198,0,0,0,0,0,0,1,17,5400,,,,,,,33,
510034,,s==46|Quân Đoàn Tranh Bá cá nhân chiến thắng 204 lần,1,200,1,0,0,1450,313,0,204,0,0,0,0,0,0,1,17,5475,,,,,,,34,
510035,,s==46|Quân Đoàn Tranh Bá cá nhân chiến thắng 210 lần,1,200,1,0,0,1450,313,0,210,0,0,0,0,0,0,1,17,5550,2,1003,1,,,,35,
510036,,s==46|Quân Đoàn Tranh Bá cá nhân chiến thắng 216 lần,1,200,1,0,0,1450,313,0,216,0,0,0,0,0,0,1,17,5625,,,,,,,36,
510037,,s==46|Quân Đoàn Tranh Bá cá nhân chiến thắng 222 lần,1,200,1,0,0,1450,313,0,222,0,0,0,0,0,0,1,17,5700,,,,,,,37,
510038,,s==46|Quân Đoàn Tranh Bá cá nhân chiến thắng 228 lần,1,200,1,0,0,1450,313,0,228,0,0,0,0,0,0,1,17,5775,,,,,,,38,
510039,,s==46|Quân Đoàn Tranh Bá cá nhân chiến thắng 234 lần,1,200,1,0,0,1450,313,0,234,0,0,0,0,0,0,1,17,5850,,,,,,,39,
510040,,s==46|Quân Đoàn Tranh Bá cá nhân chiến thắng 240 lần,1,200,1,0,0,1450,313,0,240,0,0,0,0,0,0,1,17,5925,2,1003,1,,,,40,
