id,rewards-type-1,rewards-id-1,rewards-value-1,Odd1,desc1,rewards-type-2,rewards-id-2,rewards-value-2,desc2,Odd2,
1,2,1006,300,,s==3|将印石,2,1006,50,s==3|将印石,,
2,2,1030,1,,s==4|神兵之魂,2,1027,20,s==5|神兵强化石,,
3,2,1029,1,,s==5|神兵精炼石,2,1001,100,s==3|突破石,,
4,2,1014,1,,s==5|高级夺宝令,2,1007,3,s==3|夺宝令,,
5,2,4020,1,,s==4|校尉将印,2,4010,1,s==4|都尉将印,,
6,2,3002,30,,s==6|4星随机碎片,2,2201,1,s==6|幸运经验福袋,,
7,2,3008,5,,s==6|5星随机碎片,2,2201,1,s==6|幸运经验福袋,,
8,2,1003,1,,s==5|高级寻访令,2,1007,3,s==3|夺宝令,,
9,2,1006,50,,s==3|将印石,2,1006,300,s==3|将印石,,
10,2,1027,20,,s==5|神兵强化石,2,1030,1,s==4|神兵之魂,,
11,2,1001,100,,s==3|突破石,2,1029,1,s==5|神兵精炼石,,
12,2,1007,1,,s==3|夺宝令,2,1014,1,s==5|高级夺宝令,,
13,2,4010,1,,s==4|都尉将印,2,4020,1,s==4|校尉将印,,
14,2,2201,3,,s==5|普通寻访令,2,3002,30,s==6|4星随机碎片,,
15,2,2201,1,,s==5|高级寻访令,2,3008,10,s==6|5星随机碎片,,
16,2,1007,3,,s==3|夺宝令,2,1003,1,s==5|高级寻访令,,
