id,dateStart,dateEnd,stageNum,rechargeGear,rechargeNum,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,name,isRare,
1,1,15,1,1,6,2,1003,1,2,1006,200,2,2752,5,s==13|Ngày thứ nhất,,
2,1,15,2,1,6,2,1003,1,2,1006,250,2,2752,5,s==12|Ngày thứ hai,,
3,1,15,3,1,6,2,1003,1,2,1006,300,2,2752,5,s==11|Ngày thứ ba,,
4,1,15,4,1,6,2,1003,1,2,1006,350,2,2752,5,s==11|Ngày thứ tư,,
5,1,15,5,1,6,2,1003,1,2,1466,1,2,2752,5,s==12|Ngày thứ năm,,
6,1,15,6,1,6,2,1003,1,2,1006,400,2,2752,5,s==12|Ngày thứ sáu,,
7,1,15,7,1,6,2,1003,10,1,9,500,2,2752,5,s==12|Ngày thứ bảy,1,
8,1,15,1,2,68,2,1004,1,2,1006,400,2,2752,30,s==13|Ngày thứ nhất,,
9,1,15,2,2,68,2,1004,1,2,1006,500,2,2752,30,s==12|Ngày thứ hai,,
10,1,15,3,2,68,2,1004,1,2,1006,600,2,2752,30,s==11|Ngày thứ ba,,
11,1,15,4,2,68,2,1004,1,2,1006,700,2,2752,30,s==11|Ngày thứ tư,,
12,1,15,5,2,68,2,1004,1,2,1105,4,2,2752,30,s==12|Ngày thứ năm,,
13,1,15,6,2,68,2,1004,1,2,1006,1000,2,2752,30,s==12|Ngày thứ sáu,,
14,1,15,7,2,68,2,4040,1,1,9,1500,2,2752,30,s==12|Ngày thứ bảy,1,
15,16,30,1,1,6,2,1003,1,2,1006,200,2,2752,5,s==13|Ngày thứ nhất,,
16,16,30,2,1,6,2,1003,1,2,1006,250,2,2752,5,s==12|Ngày thứ hai,,
17,16,30,3,1,6,2,1003,1,2,1006,300,2,2752,5,s==11|Ngày thứ ba,,
18,16,30,4,1,6,2,1003,1,2,1006,350,2,2752,5,s==11|Ngày thứ tư,,
19,16,30,5,1,6,2,1003,1,2,1466,1,2,2752,5,s==12|Ngày thứ năm,,
20,16,30,6,1,6,2,1003,1,2,1006,500,2,2752,5,s==12|Ngày thứ sáu,,
21,16,30,7,1,6,2,1675,3,1,9,500,2,2752,5,s==12|Ngày thứ bảy,1,
