godBeastID,name,type,quality,qualityName,exclusiveSkillId,passiveSkill,upStarID,changeIf,changeCost-type-1,changeCost-id-1,changeCost-value-1,headFrame,armatureId,scale,coordinates,showScale,showCoordinates,basePower,isLock,
50001,s==9|Cửu Vĩ Hồ,0,3,s==3|Lam,20202410,,500010,,,,,500001,50000001,1|1,0|0,1.2|1.2,0|0,100,0,
50002,s==9|Thiên Cẩu,0,3,s==3|Lam,20203210,,500020,,,,,500002,50000002,1|1,0|0,1.2|1.2,0|0,100,0,
50003,s==7|Cùng Kỳ,0,4,s==6|Tử Sắc,20203110,,500030,,,,,500003,50000003,1.1|1.1,0|0,1.2|1.2,0|0,300,0,
50004,s==7|Toan Nê,0,4,s==6|Tử Sắc,20202510,,500040,,,,,500004,50000004,1|1,0|0,1.2|1.2,0|0,300,0,
50005,s==9|Loàn Điểu,0,4,s==6|Tử Sắc,20202310,,500050,,,,,500005,50000005,1|1,0|24,1.2|1.2,0|32,300,0,
50006,s==7|Lục Ngô,0,5,s==7|Cam Sắc,20203010,,500060,1,1,9,300,500006,50000006,1|1,0|0,1.2|1.2,0|0,500,1,
50007,s==9|Anh Chiêu,0,5,s==7|Cam Sắc,20202610,,500070,1,1,9,300,500007,50000007,0.9|0.9,0|0,1.2|1.2,0|0,500,1,
50008,s==10|Chào Phong,0,5,s==7|Cam Sắc,20202710,,500080,1,1,9,300,500008,50000008,1.1|1.1,-32|0,1.2|1.2,0|0,500,1,
50009,s==6|Kỳ Lân,0,5,s==7|Cam Sắc,20202910,,500090,1,1,9,300,500009,50000009,1|1,-24|0,1.2|1.2,0|0,500,1,
50010,s==5|Bá Hạ,0,5,s==7|Cam Sắc,20202810,,500100,1,1,9,300,500010,50000010,1|1,0|0,1.2|1.2,0|0,500,1,
50011,s==9|Đào Thiết,0,6,s==2|Đỏ,20203610,1,500110,1,1,9,600,500011,50000011,1|1,0|0,1.2|1.2,0|0,1500,1,
50012,s==10|Huyền Minh,0,6,s==2|Đỏ,20203510,1,500120,1,1,9,600,500012,50000012,1|1,0|0,1.2|1.2,0|0,1500,1,
50013,s==8|Ứng Long,0,6,s==2|Đỏ,20203310,1,500130,1,1,9,600,500013,50000013,1|1,0|0,1.2|1.2,0|0,1500,1,
50014,s==8|Chu Tước,0,6,s==2|Đỏ,20203710,1,500140,1,1,9,600,500014,50000014,1|1,0.9|0.9,1.2|1.2,0|0,1500,1,
50015,s==11|Thương Long,0,6,s==2|Đỏ,20203410,1,500150,1,1,9,600,500015,50000015,1|1,0|-20,1.2|1.2,0|0,1500,1,
