id,taskType,taskDesc,targetType,targetId,targetValue,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,
1,1,s==6|日常登录1次,101,0,1,2,7034,20,2,7030,1,
2,1,s==8|使用普通骰子3次,521,7030,3,2,7034,30,2,1001,200,
3,1,s==8|使用普通骰子5次,521,7030,5,2,7034,50,2,1007,3,
4,1,s==8|使用黄金骰子1次,521,7031,1,2,7034,50,2,1006,200,
5,1,s==8|遭遇随机事件1次,667,301,1,2,7034,50,2,1003,1,
6,1,s==13|当日累计获得100庆典积分,537,7034,100,2,7034,50,2,7031,1,
7,2,s==12|累计获得5000庆典积分,537,7034,5000,2,30028,1,,,,
8,2,s==11|累计使用普通骰子25次,521,7030,25,2,7034,100,2,1003,1,
9,2,s==11|累计使用普通骰子50次,521,7030,50,2,7034,200,2,1003,3,
10,2,s==12|累计使用普通骰子100次,521,7030,100,2,7034,300,2,1003,5,
11,2,s==11|累计使用黄金骰子15次,521,7031,15,2,7034,300,2,1004,1,
12,2,s==9|遭遇随机事件10次,667,301,10,2,7034,100,2,1006,200,
13,2,s==9|遭遇随机事件20次,667,301,20,2,7034,200,2,1006,300,
14,2,s==9|遭遇随机事件30次,667,301,30,2,7034,300,2,1006,500,
