weaponId,name,pictureName,heroInletPic,type,quality,qualityName,starLimit,heroId,upStarId,backWeight,isLock,basePower,baseAtt-type-1,baseAtt-way-1,baseAtt-value-1,baseAtt-type-2,baseAtt-way-2,baseAtt-value-2,baseAtt-type-3,baseAtt-way-3,baseAtt-value-3,baseAtt-type-4,baseAtt-way-4,baseAtt-value-4,perGradeAtt,armatureId,armatureName,armatureScale,armatureX,armatureY,armatureLibScale,armatureTipsScale,heroInletPicX,heroInletPicY,libraryY,libraryPage,
800001,s==14|Kiếm Thiết Cốt,s==11|zshw_zi_tcj,s==6|rk_tjj,,3,s==9|Ảo Vũ Lam,0,,80000101,1000,0,100,1,0,5000,2,0,500,,,,,,,2000|200|0|0,8000001,,1.1,,,0.55,0.65,,26,,1,
800002,s==12|Cung Đào Hoa,s==11|zshw_zi_thg,s==6|rk_thg,,3,s==9|Ảo Vũ Lam,0,,80000201,1000,0,100,1,0,5000,2,0,500,,,,,,,2000|200|0|0,8000002,,1.1,,,0.55,0.65,10,8,20,1,
800003,s==18|Thương Huyền Thiết,s==11|zshw_zi_xtq,s==6|rk_xtq,,3,s==9|Ảo Vũ Lam,0,,80000301,1000,0,100,1,0,5000,2,0,500,,,,,,,2000|200|0|0,8000003,,1.1,,,0.55,0.65,,26,,1,
800004,s==13|Rìu Kim Cương,s==11|zshw_zi_jgj,s==6|rk_jgy,,4,s==8|Ảo Vũ Tử,0,,80000401,1000,0,300,1,0,10000,2,0,1000,,,,,,,3000|300|0|0,8000004,,1.1,,,0.55,0.65,,26,,2,
800005,s==12|Cung Thần Bỉ,s==11|zshw_zi_sbg,s==6|rk_sbg,,4,s==8|Ảo Vũ Tử,0,,80000501,1000,0,300,1,0,10000,2,0,1000,,,,,,,3000|300|0|0,8000005,,1.1,,,0.55,0.65,18,16,-20,2,
800006,s==13|Đao Liệt Giáp,s==11|zshw_zi_ljd,s==6|rk_ljd,,4,s==8|Ảo Vũ Tử,0,,80000601,1000,0,300,1,0,10000,2,0,1000,,,,,,,3000|300|0|0,8000006,,1.1,,,0.55,0.65,,26,,2,
800007,s==14|Kiếm Hàn Quang,s==11|zshw_zi_hgj,s==6|rk_hgj,,4,s==8|Ảo Vũ Tử,0,,80000701,1000,0,300,1,0,10000,2,0,1000,,,,,,,3000|300|0|0,8000007,,1.1,,,0.55,0.65,,26,,2,
800008,s==14|Phiến Huyền Cơ,s==11|zshw_zi_xjs,s==6|rk_xjs,,4,s==8|Ảo Vũ Tử,0,,80000801,1000,0,300,1,0,10000,2,0,1000,,,,,,,3000|300|0|0,8000008,,1.1,,,0.55,0.65,,26,-38,2,
800009,s==15|Kích Lạc Nguyệt,s==11|zshw_zi_lrj,s==6|rk_lyj,,5,s==9|Ảo Vũ Cam,5,,80000901,1000,0,500,1,0,15000,2,0,1500,3,0,10,4,0,10,4000|400|0|0,8000009,,1.1,,,0.55,0.65,,26,,3,
800010,s==15|Cung Long Thiệt,s==11|zshw_zi_lsg,s==6|rk_lsg,,5,s==9|Ảo Vũ Cam,5,,80001001,1000,0,500,1,0,15000,2,0,1500,3,0,10,4,0,10,4000|400|0|0,8000010,,1.1,,,0.55,0.65,18,16,,3,
800011,s==9|Cự Khuyết,s==10|zshw_zi_jj,s==5|rk_jq,,5,s==9|Ảo Vũ Cam,5,,80001101,1000,0,500,1,0,15000,2,0,1500,3,0,10,4,0,10,4000|400|0|0,8000011,,1.1,,,0.55,0.65,,26,,3,
