id,dateStart,dateEnd,stageNum,rechargeGear,rechargeNum,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,name,
1,1,30,1,1,6,2,1003,2,2,1006,200,1,9,60,s==3|破阵子,
2,1,30,2,1,6,2,1003,2,2,1006,200,1,8,500000,s==3|卜算子,
3,1,30,3,1,6,2,1003,2,2,1006,200,2,3008,25,s==3|如梦令,
4,1,30,4,1,6,2,1003,2,2,1006,200,1,8,1000000,s==3|水龙吟,
5,1,30,5,1,6,2,1003,2,2,1006,200,2,3008,25,s==3|长相思,
6,1,30,6,1,6,2,1003,2,2,1006,200,1,8,2000000,s==3|定风波,
7,1,30,7,1,6,2,1004,1,2,1105,1,2,3008,50,s==3|虞美人,
8,1,30,1,2,68,2,1004,1,2,1006,1000,2,1014,1,s==3|破阵子,
9,1,30,2,2,68,2,1004,1,2,1006,1000,1,10,500000,s==3|卜算子,
10,1,30,3,2,68,2,1004,1,2,1006,1000,1,9,680,s==3|如梦令,
11,1,30,4,2,68,2,1004,1,2,1006,1000,1,10,1000000,s==3|水龙吟,
12,1,30,5,2,68,2,1004,1,2,1006,1000,2,1014,1,s==3|长相思,
13,1,30,6,2,68,2,1004,1,2,1006,1000,1,10,2000000,s==3|定风波,
14,1,30,7,2,68,2,1004,2,2,1105,4,1,9,680,s==3|虞美人,
15,31,60,1,1,6,2,1003,2,2,1036,5,1,9,60,s==3|破阵子,
16,31,60,2,1,6,2,1003,2,2,1036,5,1,10,50000,s==3|卜算子,
17,31,60,3,1,6,2,1003,2,2,1036,5,2,3008,25,s==3|如梦令,
18,31,60,4,1,6,2,1003,2,2,1036,5,1,10,100000,s==3|水龙吟,
19,31,60,5,1,6,2,1003,2,2,1036,5,1,9,60,s==3|长相思,
20,31,60,6,1,6,2,1003,2,2,1036,5,1,10,200000,s==3|定风波,
21,31,60,7,1,6,2,1004,1,2,1105,2,2,3008,50,s==3|虞美人,
22,31,60,1,2,68,2,1004,1,2,1036,10,2,1014,1,s==3|破阵子,
