id,dateStart,dateEnd,stageStart,stageEnd,stage,itemGroup,belovedItemID,isShowRecord,isRecord,desc,rewards-type-1,rewards-id-1,rewards-value-1,showOdd1,realOdd,preposeNum,mustNum,isShowSurplus,surplusNum,isEffect,
1,1,5,1,7,1,1,1,1,1,s==8|红莲业火(永久),2,13712,1,67,100,50,200,,,1,
2,1,5,1,7,1,1,2,1,1,s==8|琅琊琴韵(永久),2,13728,1,67,100,50,200,,,1,
3,1,5,1,7,1,1,3,1,1,s==8|天公将军(永久),2,13003,1,28,38,100,470,,,1,
4,1,5,1,7,1,1,4,1,1,s==6|神魔自选武将,2,1530,1,182,500,35,65,1,3,1,
5,1,5,1,7,1,1,5,1,1,s==8|极品魏蜀吴自选箱,2,5095,1,222,1000,35,65,1,3,1,
6,1,5,1,7,1,1,6,1,1,s==5|超级技能玉,2,1177,1,38,250,220,380,1,8,1,
7,1,5,1,7,1,1,7,1,1,s==5|高级技能玉,2,1176,1,111,500,70,110,1,3,1,
8,1,5,1,7,1,1,8,1,1,s==4|领军将印,2,4040,1,184,700,40,70,1,3,1,
9,1,5,1,7,1,1,9,1,1,s==6|四星红装自选,2,2128,1,105,667,80,120,1,4,1,
10,1,5,1,7,1,1,10,1,1,s==6|4级宝石自选,2,2088,1,125,500,60,120,1,4,1,
11,1,5,1,7,1,2,,,,s==6|5星神魔碎片,2,3014,10,300,300,,,,,,
12,1,5,1,7,1,2,,,,s==4|神兵之魂,2,1030,4,200,200,,,,,,
13,1,5,1,7,1,2,,,,s==4|美人凤冠,2,1081,4,200,200,,,,,,
14,1,5,1,7,1,2,,,,s==4|宝物之魂,2,1044,2,200,200,,,,,,
15,1,5,1,7,1,2,,,,s==4|美人锦缎,2,1082,3,500,500,,,,,,
16,1,5,1,7,1,2,,,,s==5|宝物进阶石,2,1043,5,500,500,,,,,,
17,1,5,1,7,1,2,,,,s==5|神兵精炼石,2,1029,3,1000,1000,,,,,,
18,1,5,1,7,1,3,,,,s==5|高级寻访令,2,1003,1,500,500,,,,,,
19,1,5,1,7,1,3,,,,s==5|神兵强化石,2,1027,10,800,800,,,,,,
20,1,5,1,7,1,3,,,,s==4|自选精粹,2,1077,20,800,800,,,,,,
21,1,5,1,7,1,3,,,,s==6|5星随机碎片,2,3008,10,500,500,,,,,,
22,1,5,1,7,1,3,,,,s==6|4星随机碎片,2,3002,15,800,800,,,,,,
23,1,5,1,7,1,3,,,,s==3|将印石,2,1006,150,900,900,,,,,,
24,1,5,1,7,1,3,,,,s==3|突破石,2,1001,150,900,900,,,,,,
25,1,5,1,7,1,3,,,,s==6|幸运铜钱福袋,2,2200,1,900,900,,,,,,
26,1,5,1,7,1,3,,,,s==6|幸运经验福袋,2,2201,1,900,900,,,,,,
27,6,10,1,7,1,1,1,1,1,s==8|天公将军(永久),2,13003,1,28,38,100,470,,,1,
28,6,10,1,7,1,1,2,1,1,s==8|琅琊琴韵(永久),2,13728,1,67,100,50,200,,,1,
29,6,10,1,7,1,1,3,1,1,s==8|武侯虎痴(永久),2,13718,1,67,100,50,200,,,1,
30,6,10,1,7,1,1,4,1,1,s==8|红莲业火(永久),2,13712,1,67,100,50,200,,,1,
31,6,10,1,7,1,1,5,1,1,s==8|情鸩入髓(永久),2,13715,1,28,38,100,470,,,1,
32,6,10,1,7,1,1,6,1,1,s==5|超级技能玉,2,1177,1,38,250,220,380,1,8,1,
33,6,10,1,7,1,1,7,1,1,s==5|高级技能玉,2,1176,1,111,500,70,110,1,3,1,
34,6,10,1,7,1,1,8,1,1,s==4|领军将印,2,4040,1,184,700,40,70,1,3,1,
35,6,10,1,7,1,1,9,1,1,s==6|四星红装自选,2,2128,1,105,667,80,120,1,8,1,
36,6,10,1,7,1,1,10,1,1,s==6|4级宝石自选,2,2088,1,125,500,60,120,1,8,1,
37,6,10,1,7,1,2,,,,s==6|5星神魔碎片,2,3014,10,300,300,,,,,,
38,6,10,1,7,1,2,,,,s==4|神兵之魂,2,1030,4,200,200,,,,,,
39,6,10,1,7,1,2,,,,s==4|美人凤冠,2,1081,4,200,200,,,,,,
40,6,10,1,7,1,2,,,,s==4|宝物之魂,2,1044,2,200,200,,,,,,
41,6,10,1,7,1,2,,,,s==4|美人锦缎,2,1082,3,500,500,,,,,,
42,6,10,1,7,1,2,,,,s==5|宝物进阶石,2,1043,5,500,500,,,,,,
43,6,10,1,7,1,2,,,,s==5|神兵精炼石,2,1029,3,1000,1000,,,,,,
44,6,10,1,7,1,3,,,,s==5|高级寻访令,2,1003,1,500,500,,,,,,
45,6,10,1,7,1,3,,,,s==5|神兵强化石,2,1027,10,800,800,,,,,,
46,6,10,1,7,1,3,,,,s==4|自选精粹,2,1077,20,800,800,,,,,,
47,6,10,1,7,1,3,,,,s==6|5星随机碎片,2,3008,10,500,500,,,,,,
48,6,10,1,7,1,3,,,,s==6|4星随机碎片,2,3002,15,800,800,,,,,,
49,6,10,1,7,1,3,,,,s==3|将印石,2,1006,150,900,900,,,,,,
