heroId,nation,buffs-type-1,buffs-way-1,buffs-value-1,buffs-type-2,buffs-way-2,buffs-value-2,buffs-type-3,buffs-way-3,buffs-value-3,addBuffs-type-1,addBuffs-way-1,addBuffs-value-1,occuBuffs-type-1,occuBuffs-way-1,occuBuffs-value-1,occuBuffs-type-2,occuBuffs-way-2,occuBuffs-value-2,occuBuffs-type-3,occuBuffs-way-3,occuBuffs-value-3,occuBuffs-type-4,occuBuffs-way-4,occuBuffs-value-4,desc,
23511,3,1,1,2200,2,1,1200,,,,1,1,1200,,,,,,,,,,,,,s==37|全体统御武将：生命+20%,攻击+10%\n吴国统御武将：额外生命+10%,
22512,2,1,1,2200,2,1,1200,,,,1,1,1200,,,,,,,,,,,,,s==37|全体统御武将：生命+20%,攻击+10%\n蜀国统御武将：额外生命+10%,
21515,1,1,1,2200,2,1,1200,,,,1,1,1200,,,,,,,,,,,,,s==38|全体统御武将：生命+20%,攻击+10%,\n魏国统御武将:额外生命+10%,
25518,5,1,1,2200,2,1,1200,,,,1,1,1200,,,,,,,,,,,,,s==37|全体统御武将：生命+20%,攻击+10%,\n魔统御武将:额外生命+10%,
23511001,3,1,1,2200,2,1,1700,,,,1,1,1200,,,,,,,,,,,,,s==38|全体统御武将：生命+20%,攻击+15%,\n吴国统御武将:额外生命+10%,
22512001,2,1,1,2200,2,1,1700,,,,1,1,1200,,,,,,,,,,,,,s==38|全体统御武将：生命+20%,攻击+15%,\n蜀国统御武将:额外生命+10%,
21515001,1,1,1,2200,2,1,1700,,,,1,1,1200,,,,,,,,,,,,,s==38|全体统御武将：生命+20%,攻击+15%,\n魏国统御武将:额外生命+10%,
24518,4,1,1,2200,2,1,1200,,,,1,1,1200,,,,,,,,,,,,,s==37|全体统御武将：生命+20%,攻击+10%,\n神统御武将:额外生命+10%,
24518001,4,1,1,2200,2,1,1700,,,,1,1,1200,,,,,,,,,,,,,s==37|全体统御武将：生命+20%,攻击+15%,\n神统御武将:额外生命+10%,
25518002,5,1,1,2200,2,1,1700,,,,1,1,1200,,,,,,,,,,,,,s==37|全体统御武将：生命+20%,攻击+10%,\n魔统御武将:额外生命+10%,
